"ID";"RegioS";"Perioden";"TotaleOppervlakte_1";"TotaalVerkeersterrein_2";"Spoorterrein_3";"Wegverkeersterrein_4";"Vliegveld_5";"TotaalBebouwdTerrein_6";"Woonterrein_7";"TerreinVoorDetailhandelEnHoreca_8";"TerreinVoorOpenbareVoorzieningen_9";"TerreinVoorSociaalCultureleVoorz_10";"Bedrijventerrein_11";"TotaalSemiBebouwdTerrein_12";"Stortplaats_13";"Wrakkenopslagplaats_14";"Begraafplaats_15";"Delfstofwinplaats_16";"Bouwterrein_17";"SemiVerhardOverigTerrein_18";"TotaalRecreatieterrein_19";"ParkEnPlantsoen_20";"Sportterrein_21";"Volkstuin_22";"DagrecreatiefTerrein_23";"VerblijfsrecreatiefTerrein_24";"TotaalAgrarischTerrein_25";"TerreinVoorGlastuinbouw_26";"OverigAgrarischTerrein_27";"TotaalBosEnOpenNatuurlijkTerrein_28";"Bos_29";"OpenDroogNatuurlijkTerrein_30";"OpenNatNatuurlijkTerrein_31";"TotaalBinnenwater_32";"IJsselmeerMarkermeer_33";"AfgeslotenZeearm_34";"RijnEnMaas_35";"Randmeer_36";"Spaarbekken_37";"RecreatiefBinnenwater_38";"BinnenwaterVoorDelfstofwinning_39";"VloeiEnOfSlibveld_40";"OverigBinnenwater_41";"TotaalBuitenwater_42";"WaddenzeeEemsDollard_43";"Oosterschelde_44";"Westerschelde_45";"Noordzee_46"
"1592";"GM0310";"2017JJ00";"    6713";"     202";"      31";"     171";"       0";"    1111";"     851";"      32";"      70";"      69";"      89";"      22";"       0";"       2";"      18";"       0";"       2";"       0";"     261";"      67";"     136";"      11";"       1";"      46";"    3392";"       4";"    3388";"    1631";"    1510";"      12";"     109";"      94";"";"";"";"";"       0";"       1";"       0";"       0";"      94";"";"";"";"";""
"1593";"GM0585";"1996JJ00";"    5491";"     197";"       0";"     197";"       0";"     430";"     308";"       2";"       0";"       0";"     120";"      18";"       0";"       0";"       6";"       0";"       9";"       4";"      91";"      29";"      37";"       5";"      16";"       4";"    4144";"      29";"    4115";"     154";"     100";"       0";"      53";"     456";"";"";"     222";"";"       0";"       1";"       0";"      27";"     207";"";"";"";"";""
"1594";"GM0585";"2000JJ00";"    5491";"     195";"       0";"     195";"       0";"     444";"     314";"       2";"       0";"       0";"     128";"      46";"       0";"       0";"       6";"       0";"      39";"       0";"     103";"      36";"      39";"       5";"      18";"       4";"    4086";"      34";"    4052";"     159";"     105";"       0";"      54";"     457";"";"";"     222";"";"       0";"       1";"       0";"      28";"     207";"";"";"";"";""
"1595";"GM0585";"2003JJ00";"    5491";"     227";"       0";"     227";"       0";"     458";"     308";"       6";"       3";"       1";"     139";"      84";"       0";"       0";"       5";"       0";"      69";"      10";"     121";"      41";"      48";"      10";"      18";"       5";"    3977";"      37";"    3940";"     158";"     111";"       0";"      47";"     465";"";"";"     222";"";"       0";"       1";"       0";"      29";"     214";"";"";"";"";""
"1596";"GM0585";"2006JJ00";"    5491";"     236";"       0";"     236";"       0";"     480";"     312";"       6";"       3";"       1";"     157";"      70";"       0";"       0";"       5";"       0";"      58";"       7";"     125";"      45";"      47";"      10";"      18";"       5";"    3971";"      37";"    3934";"     154";"     109";"       0";"      46";"     454";"";"";"     222";"";"       0";"       0";"       0";"      17";"     215";"";"";"";"";""
"1597";"GM0585";"2008JJ00";"    7559";"     317";"      16";"     301";"       0";"     711";"     450";"       9";"       6";"       4";"     242";"      85";"       0";"       0";"       8";"       0";"      63";"      14";"     154";"      49";"      57";"      16";"      19";"      14";"    5469";"      44";"    5425";"     188";"     121";"       0";"      67";"     634";"";"";"     366";"";"       0";"       0";"       0";"      11";"     258";"";"";"";"";""
"1598";"GM0585";"2010JJ00";"    7559";"     310";"      17";"     293";"       0";"     678";"     460";"      13";"       6";"       3";"     196";"     119";"       0";"       0";"       8";"       0";"     100";"      10";"     146";"      46";"      51";"      17";"      19";"      14";"    5491";"      44";"    5447";"     186";"     118";"       0";"      68";"     629";"";"";"     365";"";"       0";"       0";"       0";"       0";"     264";"";"";"";"";""
"1599";"GM0585";"2012JJ00";"    7557";"     301";"      16";"     284";"       0";"     676";"     471";"      13";"       7";"       6";"     178";"     127";"       0";"       0";"       8";"       0";"     107";"      12";"     156";"      56";"      52";"      17";"      19";"      13";"    5485";"      44";"    5441";"     186";"     115";"       0";"      71";"     627";"";"";"     360";"";"       0";"       0";"       0";"       0";"     268";"";"";"";"";""
"1600";"GM0585";"2015JJ00";"    7557";"     300";"      16";"     284";"       0";"     725";"     474";"      13";"      52";"       6";"     181";"     112";"       0";"       0";"       8";"       0";"      92";"      12";"     158";"      56";"      54";"      17";"      19";"      13";"    5401";"      43";"    5358";"     237";"     127";"       0";"     110";"     624";"";"";"     352";"";"       0";"       0";"       0";"       0";"     273";"";"";"";"";""
"1601";"GM0585";"2017JJ00";"    7557";"     298";"      19";"     280";"       0";"     759";"     495";"      13";"      54";"       8";"     188";"      86";"       0";"       0";"       8";"       0";"      64";"      13";"     163";"      59";"      56";"      16";"      19";"      13";"    5336";"      46";"    5290";"     282";"     134";"       0";"     148";"     634";"";"";"     356";"";"       0";"       0";"       0";"       0";"     278";"";"";"";"";""
